Condition,Model,Batch_ID,Regime,Rows,MAE,RMSE,R2
Normal,Normal-only HGB,74,APC,1150,1.5815993916040672,1.8862775840754196,0.9728113406174577
Normal,Normal-only HGB,75,APC,960,0.5310862978182678,0.725556407454406,0.9932716741363696
Normal,Normal-only HGB,76,APC,1150,0.383124034154942,0.5255065610397,0.9975156578483998
Normal,Normal-only HGB,77,APC,1025,0.44637545761444236,0.6644308574631961,0.995199820615765
Normal,Normal-only HGB,78,APC,1150,1.0117684305694046,1.2294981247217824,0.9839409773490773
Normal,Normal-only HGB,79,APC,1175,0.8142750519516115,1.3551046004728502,0.9853733166320897
Normal,Normal-only HGB,80,APC,1150,0.7944213260691674,1.2134118900962871,0.9865508063944732
Normal,Normal-only HGB,81,APC,1100,0.950791010676059,1.2145406829415455,0.988401773003823
Normal,Normal-only HGB,82,APC,1150,0.3609493811403514,0.5884157993843349,0.9968087913043813
Normal,Normal-only HGB,83,APC,1205,1.168327460218055,1.5751029301693613,0.9718363664844984
Normal,Normal-only HGB,84,APC,1150,0.6572781493646507,0.9979821416881967,0.9900297891661829
Normal,Normal-only HGB,85,APC,1000,1.1968466753128442,1.5373977877907357,0.979397706572903
Normal,Normal-only HGB,86,APC,1150,0.34776313664613157,0.46689690630542474,0.9980850983731107
Normal,Normal-only HGB,87,APC,1110,1.088274216520441,1.489051033627483,0.981003500665748
Normal,Normal-only HGB,88,APC,1150,1.3203253584763839,1.9356858715989556,0.9608589052766541
Normal,Normal-only HGB,89,APC,1155,1.1548950151892274,1.7519364847789731,0.9611882674488226
Normal,Normal-only HGB,90,APC,1150,0.5275798244715122,0.6688758614680033,0.996226089793928
Normal,Fault-aware HGB,1,Recipe,1130,1.5487306383200197,1.822289501086592,0.9688455358488048
Normal,Fault-aware HGB,2,Recipe,1150,0.6276399396457895,0.8506567731186081,0.9936710707938979
Normal,Fault-aware HGB,3,Recipe,1390,2.5325687766322154,4.099290987518566,0.7905410691383223
Normal,Fault-aware HGB,4,Recipe,1150,2.1942986017930983,3.9338445408742584,0.7448253731345262
Normal,Fault-aware HGB,5,Recipe,895,0.22136840769308605,0.2905826064209989,0.9990664678978509
Normal,Fault-aware HGB,6,Recipe,1150,3.1000639777584604,4.5754457756771165,0.582952986002423
Normal,Fault-aware HGB,7,Recipe,1160,2.114957157710058,2.4506626122184474,0.9475691697604148
Normal,Fault-aware HGB,8,Recipe,1150,2.1199113314353046,2.6044688414429378,0.9527062318039548
Normal,Fault-aware HGB,9,Recipe,1260,2.611616602412212,3.244020355387039,0.5109328913569198
Normal,Fault-aware HGB,10,Recipe,1150,0.6494559336313311,1.1191214631479056,0.9803593621258327
Normal,Fault-aware HGB,11,Recipe,1010,1.4475860942151508,1.8105416667574468,0.9739871001404846
Normal,Fault-aware HGB,12,Recipe,1150,0.8249397465450462,1.0148795374024169,0.9900463496099454
Normal,Fault-aware HGB,13,Recipe,1080,1.372364265455938,1.888031809691563,0.9674251832205853
