Batch_ID,Rows,Median_Fault_Risk,Maximum_Fault_Risk,Fault_Warning_Rate,Median_OOD_Score,OOD_95pct_Score,OOD_Flag_Rate,Documented_Group,OOD_Threshold
62,1150,0.00949623183215676,0.6095527215420837,0.0008695652173913044,0.38757956550044825,0.5114078546775884,0.008695652173913044,Normal,0.6268293842323848
63,1150,0.00874551778248979,0.7882081747491166,0.004347826086956522,0.38802298562559057,0.4810752540170501,0.004347826086956522,Normal,0.6268293842323848
64,1150,0.005232294796946133,0.5741280310526955,0.0008695652173913044,0.385207632718654,0.4882595820839963,0.0052173913043478265,Normal,0.6268293842323848
65,1155,0.008441353528825975,0.8051782529140373,0.0025974025974025974,0.39036965384780825,0.4750964350685322,0.003463203463203463,Normal,0.6268293842323848
66,1150,0.006215478298242587,0.4009294531826767,0.0,0.3904123971754457,0.5124653220400626,0.004347826086956522,Normal,0.6268293842323848
67,835,0.009298376988974823,0.54399962035976,0.0011976047904191617,0.43693228514987076,0.6616821771349404,0.16047904191616766,Normal,0.6268293842323848
68,1150,0.006126708732020954,0.3811530412083185,0.0,0.39256880333917366,0.4957555680094754,0.00608695652173913,Normal,0.6268293842323848
69,1125,0.00676768945489769,0.6971232738643929,0.0017777777777777779,0.3971125861434918,0.4840599129736821,0.0044444444444444444,Normal,0.6268293842323848
70,1150,0.003976677849311389,0.7024092321064894,0.0026086956521739132,0.39481054545151106,0.5147271548710322,0.006956521739130435,Normal,0.6268293842323848
71,1070,0.005875269486431893,0.6919896435102615,0.009345794392523364,0.38456683234067435,0.5421899402436123,0.011214953271028037,Normal,0.6268293842323848
72,1150,0.005344162561594876,0.34921701843157477,0.0,0.386422995166984,0.46342744496120036,0.0034782608695652175,Normal,0.6268293842323848
73,1180,0.007252130141523293,0.6112004252915825,0.00423728813559322,0.40843090965148643,0.5165494912751094,0.00423728813559322,Normal,0.6268293842323848
74,1150,0.013237760565205387,0.7895138504443345,0.017391304347826087,0.3817712308095139,0.46914410038391274,0.0034782608695652175,Normal,0.6268293842323848
75,960,0.008504264327910925,0.5870487219823576,0.0020833333333333333,0.3938911767300502,0.53480529318013,0.008333333333333333,Normal,0.6268293842323848
76,1150,0.00843870751253283,0.6110503763701597,0.0026086956521739132,0.3824468948698882,0.49626960633590045,0.004347826086956522,Normal,0.6268293842323848
77,1025,0.007318833651506358,0.6289110340660367,0.002926829268292683,0.3798903465994276,0.48181287992099303,0.004878048780487805,Normal,0.6268293842323848
78,1150,0.010639995621715116,0.5724225015032055,0.0052173913043478265,0.3814685707639746,0.5128597180309604,0.0052173913043478265,Normal,0.6268293842323848
79,1175,0.0064357223404901435,0.7762550173656035,0.00851063829787234,0.38035773244143517,0.4715601261975972,0.003404255319148936,Normal,0.6268293842323848
80,1150,0.00789354521332862,0.5903790424107044,0.0008695652173913044,0.3817753509333451,0.49406683515262906,0.004347826086956522,Normal,0.6268293842323848
81,1100,0.006073461028940503,0.5898853318500353,0.0009090909090909091,0.38536881982351856,0.47663941066843124,0.0036363636363636364,Normal,0.6268293842323848
82,1150,0.006123307847525067,0.7278384216193767,0.004347826086956522,0.3776222797563197,0.46546648396802764,0.0034782608695652175,Normal,0.6268293842323848
83,1205,0.007748221723188358,0.8018728423235968,0.009128630705394191,0.3843424279738689,0.4787137848798153,0.004149377593360996,Normal,0.6268293842323848
84,1150,0.004257976630425202,0.4385640028601531,0.0,0.3891947616321909,0.4870953823134127,0.0034782608695652175,Normal,0.6268293842323848
85,1000,0.007905340675212027,0.7447366557285358,0.006,0.38218574851371934,0.4847445064810907,0.005,Normal,0.6268293842323848
86,1150,0.0055518209166322925,0.3603263974321475,0.0,0.378551381985212,0.47799815236834503,0.0034782608695652175,Normal,0.6268293842323848
87,1110,0.006040511051566357,0.8210247028264211,0.008108108108108109,0.3967185356928093,0.4850503172196269,0.0036036036036036037,Normal,0.6268293842323848
88,1150,0.004049063655281749,0.19578532414418848,0.0,0.38493251475490087,0.4666543261333305,0.0034782608695652175,Normal,0.6268293842323848
89,1155,0.007649312701199662,0.5892450504980865,0.012121212121212121,0.39072124830120253,0.47633125617374417,0.004329004329004329,Normal,0.6268293842323848
90,1150,0.0066925752463835924,0.8480377105125066,0.0017391304347826088,0.37419696357394355,0.47440696443086877,0.0034782608695652175,Normal,0.6268293842323848
