Model,Dataset,Batch_ID,Rows,MAE,RMSE,R2
Linear Regression,Normal Test,14,1150,0.879598265386436,1.0420602073017131,0.988997925787077
Linear Regression,Normal Test,28,1150,1.2350552586323928,1.7878725235299842,0.9596039536711994
Linear Regression,Normal Test,34,1150,3.212235515165985,4.44297956004909,0.6457168544795836
Linear Regression,Normal Test,45,1310,4.720034011054418,6.445343883258523,-1.4694304569256484
Linear Regression,Normal Test,46,1150,2.0325439684724267,2.4254270878737114,0.9510446843168489
Linear Regression,Normal Test,47,1140,2.6290513609520287,3.0963320944876047,0.8809781864577282
Linear Regression,Normal Test,60,1150,1.911197591455196,2.2672090006191055,0.933877773546836
Linear Regression,Normal Test,66,1150,1.877325865809649,2.1818676853269707,0.9469719979751913
Linear Regression,Normal Test,69,1125,1.3062800860417292,1.6697085099479307,0.9710199980877819
Linear Regression,Normal Test,71,1070,2.321207253174472,2.786176842847403,0.9397879075418184
Linear Regression,Normal Test,77,1025,1.3263813028169724,1.5441616682402646,0.9740735284990446
Linear Regression,Normal Test,83,1205,0.9753579918815926,1.2073685620081414,0.9834518087245768
Linear Regression,Fault Test,91,1290,4.386402512117646,5.674894328073063,-4.302822286677608
Linear Regression,Fault Test,92,1150,1.8143317853911425,2.542308171673408,0.9079305869748332
Linear Regression,Fault Test,93,1050,1.812129315538799,2.201367226616797,0.958283285567458
Linear Regression,Fault Test,94,1150,5.52253580758938,7.374214201731903,-2.525230721418358
Linear Regression,Fault Test,95,1055,3.4416791009095338,4.23561539497073,-0.3889813956572983
Linear Regression,Fault Test,96,1150,1.3668447881207382,1.8277482678604315,0.964038827330428
Linear Regression,Fault Test,97,1125,1.4126905422908171,1.9256962147157426,0.9463190569866489
Linear Regression,Fault Test,98,1150,2.5941447218714515,3.2671408274657003,0.9193283974223074
Linear Regression,Fault Test,99,1255,5.2382156894466725,7.451341576906995,-2.44660972900369
Linear Regression,Fault Test,100,1150,7.525039555178095,10.068309663675677,-7.031615279032339
Random Forest,Normal Test,2,1150,0.8120185742264925,1.1805495240954855,0.987810386651903
Random Forest,Normal Test,5,895,0.3582117123400741,0.523521028962462,0.9969698907327609
Random Forest,Normal Test,9,1260,3.4804074734959305,4.3380518347185175,0.12543762606736364
Random Forest,Normal Test,14,1150,0.814496663549526,1.1909797218893867,0.9856286462306124
Random Forest,Normal Test,28,1150,1.1155919622198518,1.8933437142548366,0.9546972374713455
Random Forest,Normal Test,34,1150,1.1541612591840285,1.7727727670340219,0.9435962466862285
Random Forest,Normal Test,45,1310,3.460024689127992,4.384188441849206,-0.14257058393201594
Random Forest,Normal Test,46,1150,0.523958610435328,0.8084084752761361,0.9945614249726924
Random Forest,Normal Test,47,1140,1.4227644680259137,2.237290473908287,0.9378592856453029
Random Forest,Normal Test,60,1150,1.5183001468147677,1.9939027152644193,0.9488586386902218
Random Forest,Normal Test,66,1150,0.9677360431233528,1.197175325570185,0.9840351825030033
Random Forest,Normal Test,69,1125,0.5044053973526821,0.6513661984123336,0.9955897061757971
Random Forest,Normal Test,71,1070,1.165320538546517,1.6866105584301505,0.9779354033509428
Random Forest,Normal Test,77,1025,0.49194228826998104,0.7923951035292436,0.9931728185359869
Random Forest,Normal Test,83,1205,1.335441079714472,1.893420784602352,0.9593027479531593
Random Forest,Fault Test,91,1290,5.719630884157231,6.9944873870536615,-7.0557002457074365
Random Forest,Fault Test,92,1150,0.7016407595061004,1.1225157591189077,0.9820508502366931
Random Forest,Fault Test,93,1050,1.0829116443091231,1.4990671607262316,0.9806550645790216
Random Forest,Fault Test,94,1150,3.5769366417846356,4.815597308085309,-0.5033370992738957
Random Forest,Fault Test,95,1055,3.1884186237207244,4.459964181439745,-0.54001919561773
Random Forest,Fault Test,96,1150,1.2854606247487685,2.318672322632695,0.9421264878122902
